DBGDIDR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}000}
DBGBCR13 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}101}
DBGBCR14 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}101}
DBGBCR15 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}101}
DBGWVR0 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}110}
DBGWVR1 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}110}
DBGWVR2 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}110}
DBGWVR3 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}110}
DBGWVR4 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}110}
DBGWVR5 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}110}
DBGWVR6 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}110}
DBGWVR7 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}110}
DBGWVR8 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}110}
DBGWVR9 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}110}
DBGWVR10 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}110}
DBGWVR11 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}110}
DBGWVR12 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}110}
DBGWVR13 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}110}
DBGWVR14 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}110}
DBGWVR15 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}110}
DBGWVR0 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}110}
DBGWVR1 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}110}
DBGWVR2 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}110}
DBGWVR3 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}110}
DBGWVR4 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}110}
DBGWVR5 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}110}
DBGWVR6 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}110}
DBGWVR7 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}110}
DBGWVR8 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}110}
DBGWVR9 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}110}
DBGWVR10 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}110}
DBGWVR11 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}110}
DBGWVR12 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}110}
DBGWVR13 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}110}
DBGWVR14 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}110}
DBGWVR15 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}110}
DBGWCR0 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}111}
DBGWCR1 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}111}
DBGWCR2 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}111}
DBGWCR3 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}111}
DBGWCR4 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}111}
DBGWCR5 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}111}
DBGWCR6 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}111}
DBGWCR7 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}111}
DBGWCR8 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}111}
DBGWCR9 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}111}
DBGWCR10 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}111}
DBGWCR11 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}111}
DBGWCR12 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}111}
DBGWCR13 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}111}
DBGWCR14 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}111}
DBGWCR15 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}111}
DBGWCR0 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0000{, {#}111}
DBGWCR1 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0001{, {#}111}
DBGWCR2 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0010{, {#}111}
DBGWCR3 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0011{, {#}111}
DBGWCR4 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0100{, {#}111}
DBGWCR5 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0101{, {#}111}
DBGWCR6 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0110{, {#}111}
DBGWCR7 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 0111{, {#}111}
DBGWCR8 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1000{, {#}111}
DBGWCR9 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1001{, {#}111}
DBGWCR10 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1010{, {#}111}
DBGWCR11 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1011{, {#}111}
DBGWCR12 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1100{, {#}111}
DBGWCR13 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1101{, {#}111}
DBGWCR14 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1110{, {#}111}
DBGWCR15 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0000, 1111{, {#}111}
DBGDRAR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0000{, {#}000}
DBGDRAR : MRRC{<c>}{<q>} 1110, {#}0000, <Rt>, <Rt2>, 0001
DBGOSLAR : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0000{, {#}100}
DBGOSLSR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0001{, {#}100}
DBGOSDLR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0011{, {#}100}
DBGOSDLR : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0011{, {#}100}
DBGPRCR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0100{, {#}100}
DBGPRCR : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0100{, {#}100}
DBGBXVR0 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0000{, {#}001}
DBGBXVR1 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0001{, {#}001}
DBGBXVR2 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0010{, {#}001}
DBGBXVR3 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0011{, {#}001}
DBGBXVR4 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0100{, {#}001}
DBGBXVR5 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0101{, {#}001}
DBGBXVR6 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0110{, {#}001}
DBGBXVR7 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0111{, {#}001}
DBGBXVR8 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1000{, {#}001}
DBGBXVR9 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1001{, {#}001}
DBGBXVR10 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1010{, {#}001}
DBGBXVR11 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1011{, {#}001}
DBGBXVR12 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1100{, {#}001}
DBGBXVR13 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1101{, {#}001}
DBGBXVR14 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1110{, {#}001}
DBGBXVR15 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1111{, {#}001}
DBGBXVR0 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0000{, {#}001}
DBGBXVR1 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0001{, {#}001}
DBGBXVR2 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0010{, {#}001}
DBGBXVR3 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0011{, {#}001}
DBGBXVR4 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0100{, {#}001}
DBGBXVR5 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0101{, {#}001}
DBGBXVR6 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0110{, {#}001}
DBGBXVR7 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 0111{, {#}001}
DBGBXVR8 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1000{, {#}001}
DBGBXVR9 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1001{, {#}001}
DBGBXVR10 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1010{, {#}001}
DBGBXVR11 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1011{, {#}001}
DBGBXVR12 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1100{, {#}001}
DBGBXVR13 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1101{, {#}001}
DBGBXVR14 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1110{, {#}001}
DBGBXVR15 : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0001, 1111{, {#}001}
DBGDSAR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0010, 0000{, {#}000}
DBGDSAR : MRRC{<c>}{<q>} 1110, {#}0000, <Rt>, <Rt2>, 0010
DBGDEVID2 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 0000{, {#}111}
DBGDEVID1 : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 0001{, {#}111}
DBGDEVID : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 0010{, {#}111}
DBGCLAIMSET : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 1000{, {#}110}
DBGCLAIMSET : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 1000{, {#}110}
DBGCLAIMCLR : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 1001{, {#}110}
DBGCLAIMCLR : MCR{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 1001{, {#}110}
DBGAUTHSTATUS : MRC{<c>}{<q>} 1110, {#}000, <Rt>, 0111, 1110{, {#}110}
JIDR : MRC{<c>}{<q>} 1110, {#}111, <Rt>, 0000, 0000{, {#}000}
JOSCR : MRC{<c>}{<q>} 1110, {#}111, <Rt>, 0001, 0000{, {#}000}
JOSCR : MCR{<c>}{<q>} 1110, {#}111, <Rt>, 0001, 0000{, {#}000}
JMCR : MRC{<c>}{<q>} 1110, {#}111, <Rt>, 0010, 0000{, {#}000}
JMCR : MCR{<c>}{<q>} 1110, {#}111, <Rt>, 0010, 0000{, {#}000}
MIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}000}
VPIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}000}
VPIDR_EL2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}000}
MIDR : MRC{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}000}
MIDR : MCR{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}000}
MIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}000}
VPIDR : MRC{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}000}
VPIDR : MCR{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}000}
VPIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}000}
VPIDR_EL2 : MRC{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}000}
VPIDR_EL2 : MCR{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}000}
VPIDR_EL2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}000}
CTR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}001}
TCMTR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}010}
TLBTR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}011}
MPIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}101}
VMPIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}101}
VMPIDR_EL2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}101}
MPIDR : MRC{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}101}
MPIDR : MCR{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}101}
MPIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}101}
VMPIDR : MRC{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}101}
VMPIDR : MCR{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}101}
VMPIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}101}
VMPIDR_EL2 : MRC{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}101}
VMPIDR_EL2 : MCR{<c>}{<q>} 1111, {#}100, <Rt>, 0000, 0000{, {#}101}
VMPIDR_EL2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}101}
REVIDR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0000{, {#}110}
ID_PFR0 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}000}
ID_PFR1 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}001}
ID_DFR0 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}010}
ID_AFR0 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}011}
ID_MMFR0 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}100}
ID_MMFR1 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}101}
ID_MMFR2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}110}
ID_MMFR3 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0001{, {#}111}
ID_ISAR0 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}000}
ID_ISAR1 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}001}
ID_ISAR2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}010}
ID_ISAR3 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}011}
ID_ISAR4 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}100}
ID_ISAR5 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}101}
ID_MMFR4 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}110}
ID_ISAR6 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0010{, {#}111}
ID_PFR2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0011{, {#}100}
ID_DFR1 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0011{, {#}101}
ID_MMFR5 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0000, 0011{, {#}110}
SCTLR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}000}
SCTLR : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}000}
SCTLR_NS : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}000}
SCTLR_NS : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}000}
SCTLR_S : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}000}
SCTLR_S : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}000}
ACTLR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}001}
ACTLR : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}001}
ACTLR_NS : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}001}
ACTLR_NS : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}001}
ACTLR_S : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}001}
ACTLR_S : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}001}
CPACR : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}010}
CPACR : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}010}
ACTLR2 : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}011}
ACTLR2 : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}011}
ACTLR2_NS : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}011}
ACTLR2_NS : MCR{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}011}
ACTLR2_S : MRC{<c>}{<q>} 1111, {#}000, <Rt>, 0001, 0000{, {#}011}
